🇭🇰,#genre#

翡翠臺,http://67.220.67.246:2347/livehttpplay?channel_id=20124
翡翠臺,http://67.220.67.246:2347/livehttpplay?channel_id=20127
翡翠臺,http://67.220.67.246:2347/livehttpplay?channel_id=30025
翡翠臺,http://cdn6.163189.xyz/163189/fct
翡翠臺,http://iptv.4666888.xyz/iptv2A.php?id=34
翡翠臺,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠臺,http://o11.163189.xyz/stream/tvb/fct/
翡翠臺,http://php.jdshipin.com/PLTV/iptv.php?id=fct
翡翠臺,http://php.jdshipin.com/PLTV/iptv.php?id=fct2
翡翠臺,http://php.jdshipin.com/PLTV/iptv.php?id=fct3
翡翠臺,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠臺,http://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠臺,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠臺,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠臺,http://php.jdshipin.com:8880/PLTV/iptv.php?id=fct3
翡翠臺,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
翡翠臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
翡翠臺,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3&token=512df05ba47edb46400575c93e179adb7981226d414516400ed1d382cb126adc517715d4ccd3a2276bf3c7b72d52f58905225cf0b1cc461b7888443f
翡翠臺,http://r.jdshipin.com/62WM7
翡翠臺,http://r.jdshipin.com/qrfbg
翡翠臺,http://rihou.cc:555/tv/[Pd]无线翡翠
翡翠臺,https://cdn9.163189.xyz/smt1.1.php?id=jade_twn
翡翠臺,https://cdn9.163189.xyz/smt3.1.1.php?id=jade_twn
翡翠臺,https://mytv.cdn.loc.cc/o12.php?id=fct
翡翠臺,https://o11.163189.xyz/stream/tvb/fct/

無線新聞,http://67.220.67.246:2347/livehttpplay?channel_id=20123
無線新聞,http://67.220.67.246:2347/livehttpplay?channel_id=30024
無線新聞,http://php.jdshipin.com/PLTV/iptv.php?id=wxxwt
無線新聞,http://php.jdshipin.com/smt.php?id=inews_twn
無線新聞,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
無線新聞,http://php.jdshipin.com/TVOD/iptv.php?id=wxxw
無線新聞,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
無線新聞,http://php.jdshipin.com:8880/smt.php?id=inews_twn
無線新聞,http://r.jdshipin.com/CkuBd
無線新聞,http://rihou.cc:555/tv/[Pd]无线新闻
無線新聞,http://v2h.veryfast.filegear-sg.me/live/wxxw/stream.m3u8
無線新聞,https://cdn9.163189.xyz/smt1.1.php?id=inews_twn
無線新聞,https://cdn9.163189.xyz/smt3.1.1.php?id=inews_twn
無線新聞,https://tvb.go-iptv.ggff.net/stream/tvb/null-4/master.m3u8?u=caonima&p=17dff6b2f2f8765d17991c586cbb7ef9827a1dd4982e17b915453c457e4636ab
無線新聞,https://cdn6.163189.xyz/163189/wxxw


明珠臺,http://67.220.67.246:2347/livehttpplay?channel_id=20125
明珠臺,http://67.220.67.246:2347/livehttpplay?channel_id=30026
明珠臺,http://cdn6.163189.xyz/163189/mzt
明珠臺,http://iptv.4666888.xyz/iptv2A.php?id=29
明珠臺,http://mytv.cdn.loc.cc/o12.php?id=mzt
明珠臺,http://o11.163189.xyz/stream/tvb/mzt/
明珠臺,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
明珠臺,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
明珠臺,http://php.jdshipin.com/TVOD/iptv.php?id=mzt
明珠臺,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
明珠臺,http://php.jdshipin.com:8880/iptv.php?id=mzt
明珠臺,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠臺,http://r.jdshipin.com/ZQ4kN
明珠臺,http://rihou.cc:555/tv/[Pd]无线明珠
明珠臺,https://cdn9.163189.xyz/smt1.1.php?id=pearl_twn
明珠臺,https://cdn9.163189.xyz/smt3.1.1.php?id=pearl_twn
明珠臺,https://mytv.cdn.loc.cc/o12.php?id=mzt
明珠臺,https://o11.163189.xyz/stream/tvb/mzt/
明珠臺,https://tvb.go-iptv.ggff.net/stream/tvb/null-3/master.m3u8?u=caonima&p=17dff6b2f2f8765d17991c586cbb7ef9827a1dd4982e17b915453c457e4636ab

有線新聞,http://61.10.2.140/live_freedirect/freehd209_h.live/playlist.m3u8
HOY 76,http://beishan008.asuscomm.com:8891/bysid/76.m3u8
HOY 77,http://beishan008.asuscomm.com:8891/bysid/77.m3u8
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY 77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv2
HOY77,https://cdn6.163189.xyz/163189/hoy
HOY78,https://cdn.163189.xyz/163189/hoy78
Now新聞,http://cdn.163189.xyz/163189/now
Now新聞,http://cdn.veryfast.filegear-sg.me/live/now/stream.m3u8
Now新聞,http://rihou.cc:555/tv/[Cx]Now新闻
Now新聞,https://cdn.163189.xyz/163189/now
RTHK31,http://php.jdshipin.com/PLTV/iptv.php?id=rthk31
RTHK31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK31,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk31
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK31,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/master.m3u8
RTHK32,http://php.jdshipin.com/PLTV/iptv.php?id=rthk32
RTHK32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK32,https://cdn.163189.xyz/163189/rthk32
